field_code,account_number,sign_condition,description
7236,1317,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1318,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1319,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1320,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1321,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1322,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1323,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1324,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1325,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1326,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1327,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1328,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1329,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1330,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1331,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1332,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1333,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1334,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1335,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1336,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1337,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1338,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1339,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1340,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1341,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1342,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1343,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1344,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1345,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1346,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1347,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1348,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7232,1349,NONE,Fordringar hos koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7237,1350,NONE,Andra finansiella anläggningstillgångar
7237,1351,NONE,Andra finansiella anläggningstillgångar
7237,1352,NONE,Andra finansiella anläggningstillgångar
7237,1353,NONE,Andra finansiella anläggningstillgångar
7237,1354,NONE,Andra finansiella anläggningstillgångar
7237,1355,NONE,Andra finansiella anläggningstillgångar
7237,1356,NONE,Andra finansiella anläggningstillgångar
7237,1357,NONE,Andra finansiella anläggningstillgångar
7237,1358,NONE,Andra finansiella anläggningstillgångar
7237,1359,NONE,Andra finansiella anläggningstillgångar
7234,1360,NONE,Lån till delägare eller närstående
7234,1361,NONE,Lån till delägare eller närstående
7234,1362,NONE,Lån till delägare eller närstående
7234,1363,NONE,Lån till delägare eller närstående
7234,1364,NONE,Lån till delägare eller närstående
7234,1365,NONE,Lån till delägare eller närstående
7234,1366,NONE,Lån till delägare eller närstående
7234,1367,NONE,Lån till delägare eller närstående
7234,1368,NONE,Lån till delägare eller närstående
7234,1369,NONE,Lån till delägare eller närstående
7237,1370,NONE,Andra finansiella anläggningstillgångar
7237,1371,NONE,Andra finansiella anläggningstillgångar
7237,1372,NONE,Andra finansiella anläggningstillgångar
